index,caseId,caseName,issue,issueArea,decisionDirection,partyWinning,splitVote,majVotes,minVotes,petitioner,respondent,jurisdiction,threeJudgeFdc,caseOrigin,caseSource,lcDisagreement,lcDisposition,lcDispositionDirection,justice1,justice2,justice3,justice4,justice5,justice6,justice7,justice8,justice9,justice1Code,justice2Code,justice3Code,justice4Code,justice5Code,justice6Code,justice7Code,justice8Code,justice9Code,justice1Direction,justice2Direction,justice3Direction,justice4Direction,justice5Direction,justice6Direction,justice7Direction,justice8Direction,justice9Direction,justice1Vote,justice2Vote,justice3Vote,justice4Vote,justice5Vote,justice6Vote,justice7Vote,justice8Vote,justice9Vote,justice1Opinion,justice2Opinion,justice3Opinion,justice4Opinion,justice5Opinion,justice6Opinion,justice7Opinion,justice8Opinion,justice9Opinion,justice1Majority,justice2Majority,justice3Majority,justice4Majority,justice5Majority,justice6Majority,justice7Majority,justice8Majority,justice9Majority
0,1946001,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",80180,8,2,1,1,8,1,198,172,6,0,51,29,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,2,2,2,2,2,2,2,2,2,1,1,4,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2
1,1946002,CLEVELAND v. UNITED STATES,10500,1,1,0,1,6,3,100,27,1,0,123,30,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,4,2,1,1,3,2,1,1,3,2,2,1,2,1,2,2,2,1,2,1,2
7,1946008,ALMA MOTOR CO. v. TIMKEN-DETROIT AXLE CO. ET AL.,90200,9,1,1,1,9,0,189,189,1,0,54,23,0,5,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
8,1946009,UNEMPLOYMENT COMPENSATION COMMISSION OF ALASKA ET AL. v. ARAGON ET AL.,70190,7,1,1,1,9,0,4,248,1,0,44,29,1,2,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
10,1946011,CARTER v. ILLINOIS,10120,1,1,0,1,5,4,126,28,1,0,302,300,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,2,1,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2
11,1946012,BALLARD ET AL. v. UNITED STATES,20130,2,2,1,1,6,3,100,27,1,0,51,29,1,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,2,2,1,2,2,2,2,1,2,4,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,1
12,1946013,UNITED STATES v. BRUNO,10430,1,1,1,1,9,0,27,137,1,0,92,23,0,3,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
13,1946014,FISWICK ET AL. v. UNITED STATES,10400,1,2,1,1,9,0,106,27,1,0,92,23,1,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
15,1946016,UNITED STATES v. CARMACK,40070,4,2,1,1,9,0,27,166,1,0,86,28,0,2,1,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,2,2,2,2,2,2,2,2,2,1,1,4,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
16,1946017,"FREEMAN, TRUSTEE, v. HEWIT, DIRECTOR OF GROSS INCOME TAX DIVISION",80100,8,1,1,1,6,3,102,19,2,0,302,300,0,3,2,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,86,84,81,80,79,78,85,82,87,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,4,2,1,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2
